,,,no. thrown,usage,hb mean,hb std,ivb mean,ivb std,strike perc.,whiff perc.,BAA,SLGA,wOBAA,ISOA,BABIPA,dWE,dRE
2017,SI,home,530.0,36.8567454798331,-12.70754716981132,2.671942650231511,8.085509433962264,3.1695073390232986,39.81132075471698,5.283018867924528,0.2846715328467153,0.38686131386861317,0.3374213836477987,0.1897810218978102,0.2773722627737226,-0.9999999999999926,-405.39999999999986
2017,SI,away,417.0,36.74008810572687,-13.818129496402877,3.9343288637568627,7.220719424460431,4.023389364849527,41.247002398081534,4.316546762589928,0.34285714285714286,0.47619047619047616,0.3983870967741936,0.21904761904761905,0.3269230769230769,-48.9,359.6999999999999
2017,KC,home,,,,,,,,,,,,,,,
2017,KC,away,,,,,,,,,,,,,,,
2017,FF,home,372.0,25.869262865090402,-8.53032258064516,2.9506512421504687,12.846129032258066,2.8516531479175677,44.623655913978496,6.182795698924731,0.2682926829268293,0.35365853658536583,0.3053191489361702,0.14634146341463414,0.25925925925925924,20.799999999999997,-426.70000000000005
2017,FF,away,294.0,25.90308370044053,-7.493877551020407,3.942884107342135,13.400816326530613,4.428504552742094,40.136054421768705,6.462585034013605,0.26666666666666666,0.43333333333333335,0.3506944444444444,0.23333333333333334,0.22807017543859648,18.000000000000007,224.5999999999999
2017,FC,home,397.0,27.60778859527121,0.9473047858942066,2.535877518371916,6.657430730478589,2.844446378535968,45.5919395465995,13.09823677581864,0.2235294117647059,0.4470588235294118,0.3076530612244898,0.3411764705882353,0.17857142857142858,7.39999999999999,359.30000000000007
2017,FC,away,269.0,23.70044052863436,3.164609665427509,3.692431490696655,7.138438661710036,3.8074074229677395,45.353159851301115,11.524163568773234,0.2537313432835821,0.47761194029850745,0.3243589743589744,0.34328358208955223,0.2153846153846154,4.163336342344337e-15,239.39999999999992
2017,CH,home,96.0,6.675938803894297,-8.424999999999999,2.75579084073787,8.48,3.2832743604998638,32.291666666666664,8.333333333333334,0.4666666666666667,0.8,0.5842105263157894,0.5333333333333333,0.42857142857142855,-35.400000000000006,371.30000000000007
2017,CH,away,104.0,9.162995594713657,-11.020384615384616,4.2698745856111975,8.55,3.7637607715729047,28.846153846153847,5.769230769230769,0.34782608695652173,0.4782608695652174,0.38799999999999996,0.17391304347826086,0.3181818181818182,-34.89999999999999,305.9000000000001
2017,CU,home,29.0,2.0166898470097356,4.547586206896551,2.53126966330622,1.1958620689655173,2.6612423484978636,37.93103448275862,0.0,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.3333333333333333,-6.999999999999999,60.80000000000001
2017,CU,away,44.0,3.8766519823788546,6.769090909090909,4.220427520602577,0.06545454545454547,2.746737137926121,38.63636363636363,11.363636363636363,0.2857142857142857,0.7142857142857143,0.45,0.5714285714285714,0.16666666666666666,-11.300000000000002,146.00000000000006
2017,ST,home,,,,,,,,,,,,,,,
2017,ST,away,,,,,,,,,,,,,,,
2018,SI,home,153.0,10.330857528696827,-11.373333333333333,1.9778084628672903,5.863529411764706,1.7829220806055535,42.48366013071895,5.882352941176471,0.2727272727272727,0.42424242424242425,0.3432432432432433,0.21212121212121213,0.25,18.699999999999996,3.799999999999976
2018,SI,away,270.0,14.586709886547812,-14.048444444444446,2.6596530692131575,5.993333333333333,2.411439280845458,41.48148148148148,6.296296296296297,0.25,0.2647058823529412,0.2730263157894737,0.029411764705882353,0.2463768115942029,39.4,-595.1999999999998
2018,KC,home,,,,,,,,,,,,,,,
2018,KC,away,,,,,,,,,,,,,,,
2018,FF,home,635.0,42.87643484132343,-5.995086614173228,2.3708686365666143,10.064314960629922,2.108966802298827,49.60629921259842,6.771653543307087,0.23880597014925373,0.4626865671641791,0.3503205128205128,0.3358208955223881,0.1968503937007874,88.10000000000001,-237.59999999999994
2018,FF,away,673.0,36.358725013506216,-6.911322436849925,2.7709111132203184,12.134621099554236,2.687789887018055,45.17087667161962,4.903417533432393,0.2545454545454545,0.30303030303030304,0.29126984126984123,0.07878787878787878,0.24848484848484848,87.1,-1019.2
2018,FC,home,429.0,28.96691424713032,2.3664335664335665,1.4741788807090561,3.8509090909090906,1.615720771320065,47.086247086247084,14.918414918414918,0.19444444444444445,0.3148148148148148,0.26516393442622954,0.18518518518518517,0.17757009345794392,52.0,-225.9999999999999
2018,FC,away,570.0,30.79416531604538,3.169684210526316,2.098589761296319,5.013684210526316,2.313883391619784,45.43859649122807,12.105263157894736,0.19708029197080293,0.30656934306569344,0.2620915032679738,0.1678832116788321,0.17777777777777778,117.8,-313.3999999999999
2018,CH,home,202.0,13.63943281566509,-9.87980198019802,2.135328038321007,4.801782178217822,1.867355805292982,37.62376237623762,10.396039603960396,0.2631578947368421,0.40350877192982454,0.3008474576271186,0.24561403508771928,0.25,28.300000000000004,-106.60000000000005
2018,CH,away,255.0,13.776337115072934,-12.449411764705884,2.4246345708628447,5.030588235294117,2.5350331279301983,37.64705882352941,12.549019607843137,0.3469387755102041,0.5102040816326531,0.39999999999999997,0.24489795918367346,0.3191489361702128,-66.39999999999999,669.0
2018,CU,home,62.0,4.186360567184335,1.4458064516129037,1.761144885064032,0.41032258064516136,1.6478729138308854,61.29032258064516,14.516129032258064,0.2,0.3,0.215,0.2,0.2,5.5,-245.60000000000005
2018,CU,away,78.0,4.213938411669368,2.9015384615384616,1.7006607401380658,-0.6492307692307693,2.2855655296249524,58.97435897435897,6.410256410256411,0.4444444444444444,0.4444444444444444,0.3909090909090909,0.0,0.4,-3.1000000000000005,-9.699999999999976
2018,ST,home,,,,,,,,,,,,,,,
